Sales Order Number,Item Number,Sales Order Type,Sales Order Type Description,Sales Organization,Sales Region,Sales Group,Distribution Channel,DIG New,Sold-To Party Code,Sold To Party Name,Ship-To State,Brand Name,Material Description,Plant Code,Plant Name,Incoterms,Customer Service Rep,Customer Reference Date,Order Max Confirm Date,Delivery Created on Date,Schedule Ship Date,Latest Estimated Delivery to Customer,Goods Issue Date,Reference Date,Order Quantity,Order Points,Delivered Quantity,Total Cases,Total Points,Return Points,Return Cases,Status,Kpi Month Flag,Kpi Qtr Flag
454127,000010,ZWSO,W&S Sales Order,1016,CONTROL - NE,CONTROL,10,INDEPENDENT,2224060,CENTRAL DIST CO - ME,ME,RUFFINO,FERT,US59,CBUSO LODI DISTRIBUTION CENTER,PPL,MARK SCHREINER,2025-09-24 00:00:00,,2025-09-22 00:00:00,,,,2025-09-24 00:00:00,55,440,55,55,440,0,0,At warehouse,AT WHSE Still Expected to Schedule/Ship,AT WHSE Still Expected to Schedule/Ship
454127,000020,ZWSO,W&S Sales Order,1016,CONTROL - NE,CONTROL,10,INDEPENDENT,2224060,CENTRAL DIST CO - ME,ME,RUFFINO,FERT,US59,CBUSO LODI DISTRIBUTION CENTER,PPL,MARK SCHREINER,2025-09-24 00:00:00,,2025-09-22 00:00:00,,,,2025-09-24 00:00:00,11,88,11,11,88,0,0,At warehouse,AT WHSE Still Expected to Schedule/Ship,AT WHSE Still Expected to Schedule/Ship
454148,000010,ZWSO,W&S Sales Order,1016,CONTROL - NE,CONTROL,10,INDEPENDENT,2224060,CENTRAL DIST CO - ME,ME,RUFFINO,FERT,US59,CBUSO LODI DISTRIBUTION CENTER,PPL,MARK SCHREINER,2025-09-24 00:00:00,,2025-09-22 00:00:00,,,,2025-09-24 00:00:00,14,140,14,14,140,0,0,At warehouse,AT WHSE Still Expected to Schedule/Ship,AT WHSE Still Expected to Schedule/Ship
454148,000020,ZWSO,W&S Sales Order,1016,CONTROL - NE,CONTROL,10,INDEPENDENT,2224060,CENTRAL DIST CO - ME,ME,RUFFINO,FERT,US59,CBUSO LODI DISTRIBUTION CENTER,PPL,MARK SCHREINER,2025-09-24 00:00:00,,2025-09-22 00:00:00,,,,2025-09-24 00:00:00,42,1302,42,42,1302,0,0,At warehouse,AT WHSE Still Expected to Schedule/Ship,AT WHSE Still Expected to Schedule/Ship
454148,000030,ZWSO,W&S Sales Order,1016,CONTROL - NE,CONTROL,10,INDEPENDENT,2224060,CENTRAL DIST CO - ME,ME,RUFFINO,FERT,US59,CBUSO LODI DISTRIBUTION CENTER,PPL,MARK SCHREINER,2025-09-24 00:00:00,,2025-09-22 00:00:00,,,,2025-09-24 00:00:00,42,420,42,42,420,0,0,At warehouse,AT WHSE Still Expected to Schedule/Ship,AT WHSE Still Expected to Schedule/Ship
454148,000040,ZWSO,W&S Sales Order,1016,CONTROL - NE,CONTROL,10,INDEPENDENT,2224060,CENTRAL DIST CO - ME,ME,RUFFINO,FERT,US59,CBUSO LODI DISTRIBUTION CENTER,PPL,MARK SCHREINER,2025-09-24 00:00:00,,2025-09-22 00:00:00,,,,2025-09-24 00:00:00,56,560,56,56,560,0,0,At warehouse,AT WHSE Still Expected to Schedule/Ship,AT WHSE Still Expected to Schedule/Ship
454148,000090,ZWSO,W&S Sales Order,1016,CONTROL - NE,CONTROL,10,INDEPENDENT,2224060,CENTRAL DIST CO - ME,ME,SEA SMOKE,FERT,US59,CBUSO LODI DISTRIBUTION CENTER,PPL,MARK SCHREINER,2025-09-24 00:00:00,,2025-09-22 00:00:00,,,,2025-09-24 00:00:00,16,840,16,16,840,0,0,At warehouse,AT WHSE Still Expected to Schedule/Ship,AT WHSE Still Expected to Schedule/Ship
454148,000100,ZWSO,W&S Sales Order,1016,CONTROL - NE,CONTROL,10,INDEPENDENT,2224060,CENTRAL DIST CO - ME,ME,SEA SMOKE,FERT,US59,CBUSO LODI DISTRIBUTION CENTER,PPL,MARK SCHREINER,2025-09-24 00:00:00,,2025-09-22 00:00:00,,,,2025-09-24 00:00:00,4,420,4,4,420,0,0,At warehouse,AT WHSE Still Expected to Schedule/Ship,AT WHSE Still Expected to Schedule/Ship
454148,000110,ZWSO,W&S Sales Order,1016,CONTROL - NE,CONTROL,10,INDEPENDENT,2224060,CENTRAL DIST CO - ME,ME,SEA SMOKE,FERT,US59,CBUSO LODI DISTRIBUTION CENTER,PPL,MARK SCHREINER,2025-09-24 00:00:00,,2025-09-22 00:00:00,,,,2025-09-24 00:00:00,16,840,16,16,840,0,0,At warehouse,AT WHSE Still Expected to Schedule/Ship,AT WHSE Still Expected to Schedule/Ship
454148,000120,ZWSO,W&S Sales Order,1016,CONTROL - NE,CONTROL,10,INDEPENDENT,2224060,CENTRAL DIST CO - ME,ME,SEA SMOKE,FERT,US59,CBUSO LODI DISTRIBUTION CENTER,PPL,MARK SCHREINER,2025-09-24 00:00:00,,2025-09-22 00:00:00,,,,2025-09-24 00:00:00,32,1680,32,32,1680,0,0,At warehouse,AT WHSE Still Expected to Schedule/Ship,AT WHSE Still Expected to Schedule/Ship
